segment_L,accession_L,country,admin1,location,latitude,longitude
KF478761|Bamba_R114|Mouse|Mali|2012-03,KF478761,MLI,,Bamba,10.3831,-7.1517
KF478764|Ouoma-R123|Mn|NGA|2012-03,KF478764,MLI,,Ouoma,10.397222,-7.259167
KF478763|Soromba-R30|Mn|NGA|2012-03-03,KF478763,MLI,,Soromba,10.5891,-7.1558
GU573545|Soromba_R245|Mouse|Mali|2009,GU573545,MLI,,Soromba,10.5891,-7.1558
GU573541|Soromba_R240|Mouse|Mali|2009,GU573541,MLI,,Soromba,10.5891,-7.1558
KF478760|Komina_R16|Mouse|Mali|2012-03-03,KF478760,MLI,,Komina,10.6164,-7.1583
GU573546|Soromba_R249|Mouse|Mali|2009,GU573546,MLI,,Soromba,10.5891,-7.1558
MG812668|LF17019|Human|Liberia_Bong|2017-05-04,MG812668,LBR,Bong,Jorquelleh,6.99556,-9.47222
MG812664|LF16016|Human|Liberia_Nimba|2016-04-13,MG812664,LBR,Nimba,Garr bain,7.24306,-8.87194
MG812652|LF11003|Human|Liberia_Bong|2011-02-20,MG812652,LBR,Bong,Suakoko,6.98986,-9.580031
MG812676|LF17013|Human|Liberia_Bong|2017-02-13,MG812676,LBR,Bong,Jorquelleh,6.99556,-9.47222
MG812654|LF11011|Human|Liberia_Bong|2011-04-14,MG812654,LBR,Bong,Jorquelleh,6.99556,-9.47222
MG812662|LF16004|Human|Liberia_Bong|2016-02-26,MG812662,LBR,Bong,Jorquelleh,6.99556,-9.47222
GU979513|BA366|Mouse|Guinea|2003,GU979513,GIN,Faranah,Bantou,10.059767,-10.58615
KM821799|G1442_SLE_2011|Human|Sierra_Leone|2011-01-20,KM821799,SLE,Kenema,Tongo,8.2188562,-11.0604289
KT992427|Mad41|Mouse|Guinea|2014-05-08,KT992427,GIN,Kindia,MadinaOula,9.87,-12.43
KT992429|Mad63|Mouse|Guinea|2014-05-09,KT992429,GIN,Kindia,MadinaOula,9.87,-12.43
KT992430|Mad69|Mouse|Guinea|2014-05-09,KT992430,GIN,Kindia,MadinaOula,9.87,-12.43
KT992431|Mad83|Mouse|Guinea|2014-05-10,KT992431,GIN,Kindia,MadinaOula,9.87,-12.43
KT992428|Mad62|Mouse|Guinea|2014-05-09,KT992428,GIN,Kindia,MadinaOula,9.87,-12.43
KT992426|Mad39|Mouse|Guinea|2014-05-08,KT992426,GIN,Kindia,MadinaOula,9.87,-12.43
KM821855|G2431_SLE_2012|Human|Sierra_Leone|2012-04-02,KM821855,SLE,Bo,Gondama,7.86688,-11.70931
KM821846|G2363_SLE_2012|Human|Sierra_Leone|2012-02-27,KM821846,SLE,Bo,Gondama,7.86688,-11.70931
KM821903|G3234_SLE_2013|Human|Sierra_Leone|2013-07-15,KM821903,SLE,Bo,Upper Saama,7.666711,-11.859363
KM821801|G1529_SLE_2011|Human|Sierra_Leone|2011-03-02,KM821801,SLE,Bo,Gondama,7.86688,-11.70931
KM821868|G2615_SLE_2012|Human|Sierra_Leone|2012-07-24,KM821868,SLE,Bo,Gondama,7.86688,-11.70931
KM821860|G2557_SLE_2012|Human|Sierra_Leone|2012-06-26,KM821860,SLE,Bo,Taninahun Malin,7.891162,-12.086255
KM821834|G2259_SLE_2012|Human|Sierra_Leone|2012-01-16,KM821834,SLE,Bo,Gondama,7.86688,-11.70931
KM821908|G3278_SLE_2013|Human|Sierra_Leone|2013-08-02,KM821908,SLE,Bo,Torpkoi Town,7.9538763,-11.7132483
KM821870|G2723_SLE_2012|Human|Sierra_Leone|2012-08-21,KM821870,SLE,Bo,Gondama,7.86688,-11.70931
MG812646|las803209|Human|Sierra_Leone|1975,MG812646,SLE,Kailahun,Segbwema,7.997399,-10.950236
KM821853|G2427_SLE_2012|Human|Sierra_Leone|2012-03-31,KM821853,SLE,Kenema,Nekabu,7.925974,-11.054267
KM821893|G3151_SLE_2013|Human|Sierra_Leone|2013-06-05,KM821893,SLE,Kenema,Kebawana,7.65,-11.133333
KM821901|G3229_SLE_2013|Human|Sierra_Leone|2013-07-13,KM821901,SLE,Kenema,Kenema,7.862212,-11.196247
KM821803|G1618_SLE_2011|Human|Sierra_Leone|2011-03-26,KM821803,SLE,Kailahun,Segbwema,7.997399,-10.950236
KM821858|G2554_SLE_2012|Human|Sierra_Leone|2012-06-24,KM821858,SLE,Kenema,Kenema,7.862212,-11.196247
KM821786|G733_SLE_2010|Human|Sierra_Leone|2010-01-17,KM821786,SLE,Kenema,Panguma,8.184479,-11.134313
KM821817|G1959_SLE_2011|Human|Sierra_Leone|2011-09-09,KM821817,SLE,Kenema,Kenema,7.862212,-11.196247
KM821881|G3010_SLE_2013|Human|Sierra_Leone|2013-02-05,KM821881,SLE,Kenema,Nyadeyama,8.3188107,-11.3151104
KM821829|G2197_SLE_2011|Human|Sierra_Leone|2011-12-04,KM821829,SLE,Kenema,Panguma,8.184479,-11.134313
KM821813|G1792_SLE_2011|Human|Sierra_Leone|2011-06-17,KM821813,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821776|G610_SLE_2009|Human|Sierra_Leone|2009-08-28,KM821776,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821784|G693_SLE_2009|Human|Sierra_Leone|2010-01-01,KM821784,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821788|G771_SLE_2010|Human|Sierra_Leone|2010-02-08,KM821788,SLE,Kenema,Blama,7.874519,-11.342483
KM821774|G503_SLE_2009|Human|Sierra_Leone|2009-04-30,KM821774,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821823|G2147_SLE_2011|Human|Sierra_Leone|2011-11-16,KM821823,SLE,Kenema,Tongo Tongola old town,8.21154,-11.05124
KM821772|G502_SLE_2009|Human|Sierra_Leone|2009-04-29,KM821772,SLE,Kenema,Kenema,7.862212,-11.196247
KM821844|G2318_SLE_2012|Human|Sierra_Leone|2012-02-12,KM821844,SLE,Kenema,Ngiehun,8.18,-11.08
KM821825|G2165_SLE_2011|Human|Sierra_Leone|2011-11-18,KM821825,SLE,Kenema,Panguma,8.184479,-11.134313
KM821827|G2184_SLE_2011|Human|Sierra_Leone|2011-11-26,KM821827,SLE,Bo,Gondama,7.86688,-11.70931
KM821898|G3206_SLE_2013|Human|Sierra_Leone|2013-07-01,KM821898,SLE,Kenema,Panguma,8.184479,-11.134313
KM821875|G2903_SLE_2012|Human|Sierra_Leone|2012-10-30,KM821875,SLE,Bo,Gondama,7.86688,-11.70931
